Datetime,PortfolioValue
2021-09-23T00:00:00.000000,20452275.604080554
2021-09-24T00:00:00.000000,20341682.48614977
2021-09-27T00:00:00.000000,20367844.690761622
2021-09-28T00:00:00.000000,20321143.82840737
2021-09-29T00:00:00.000000,20524175.938157357
2021-09-30T00:00:00.000000,20695180.580302674
2021-10-01T00:00:00.000000,20744573.840459164
2021-10-04T00:00:00.000000,21253020.527746864
2021-10-05T00:00:00.000000,21369805.117398214
2021-10-06T00:00:00.000000,21017614.30381704
2021-10-07T00:00:00.000000,21312867.987400383
2021-10-08T00:00:00.000000,21581205.362130236
2021-10-11T00:00:00.000000,22238092.419130243
2021-10-12T00:00:00.000000,22078514.916940685
2021-10-13T00:00:00.000000,22526862.32724864
2021-10-14T00:00:00.000000,22516274.824560016
2021-10-18T00:00:00.000000,22840030.623554267
2021-10-19T00:00:00.000000,22453299.12001308
2021-10-20T00:00:00.000000,22160813.68563203
2021-10-21T00:00:00.000000,22671325.130088247
2021-10-22T00:00:00.000000,22580418.760237902
2021-10-25T00:00:00.000000,22783681.67652326
2021-10-26T00:00:00.000000,23143136.967335157
2021-10-27T00:00:00.000000,23372763.555147897
2021-10-28T00:00:00.000000,22641162.033079922
2021-10-29T00:00:00.000000,22574246.929616798
2021-11-01T00:00:00.000000,22989654.04084675
2021-11-02T00:00:00.000000,23156894.930472404
2021-11-03T00:00:00.000000,23551394.393245645
2021-11-04T00:00:00.000000,23679456.02960381
2021-11-08T00:00:00.000000,24035249.397545025
2021-11-09T00:00:00.000000,24086109.383370146
2021-11-10T00:00:00.000000,23959864.880171094
2021-11-11T00:00:00.000000,23999836.892522007
2021-11-12T00:00:00.000000,24362488.944693025
2021-11-15T00:00:00.000000,24043482.59538633
2021-11-16T00:00:00.000000,23894422.31358645
2021-11-17T00:00:00.000000,23761541.90669518
2021-11-18T00:00:00.000000,23707895.34825002
2021-11-22T00:00:00.000000,23378148.18038837
2021-11-23T00:00:00.000000,23843849.261127137
2021-11-24T00:00:00.000000,23795040.584488124
2021-11-25T00:00:00.000000,24495983.403469555
2021-11-26T00:00:00.000000,23683087.93701237
2021-11-29T00:00:00.000000,22839855.23044584
2021-11-30T00:00:00.000000,22635973.743717905
2021-12-01T00:00:00.000000,23092541.27036328
2021-12-02T00:00:00.000000,24200657.53765145
2021-12-03T00:00:00.000000,23801771.992777668
2021-12-06T00:00:00.000000,23373538.43727047
2021-12-07T00:00:00.000000,23886052.821212903
2021-12-08T00:00:00.000000,24512148.729406204
2021-12-09T00:00:00.000000,24758776.093779087
2021-12-10T00:00:00.000000,25046458.08662811
2021-12-13T00:00:00.000000,25164574.962041695
2021-12-14T00:00:00.000000,26107608.4757934
2021-12-15T00:00:00.000000,26059213.807416312
2021-12-16T00:00:00.000000,25634156.262163684
2021-12-17T00:00:00.000000,24923307.718485743
2021-12-20T00:00:00.000000,23863147.46573794
2021-12-21T00:00:00.000000,24066427.239850193
2021-12-22T00:00:00.000000,24920276.05744562
2021-12-23T00:00:00.000000,24950654.915993772
2021-12-24T00:00:00.000000,24627181.338901836
2021-12-27T00:00:00.000000,25469954.590733774
2021-12-28T00:00:00.000000,25520081.87707824
2021-12-29T00:00:00.000000,25809493.03565715
2021-12-30T00:00:00.000000,25396078.325244017
2021-12-31T00:00:00.000000,25695397.002399415
2022-01-03T00:00:00.000000,25770360.683103524
2022-01-04T00:00:00.000000,26142734.11351034
2022-01-05T00:00:00.000000,26675042.397324704
2022-01-06T00:00:00.000000,26543041.21656695
2022-01-07T00:00:00.000000,26628590.448631592
2022-01-10T00:00:00.000000,26479451.28835494
2022-01-11T00:00:00.000000,26513386.893851444
2022-01-12T00:00:00.000000,26565838.649896987
2022-01-13T00:00:00.000000,27187655.037098765
2022-01-14T00:00:00.000000,27163258.91004996
2022-01-17T00:00:00.000000,27156470.43579951
2022-01-18T00:00:00.000000,27042632.51089209
2022-01-19T00:00:00.000000,26949004.027607627
2022-01-20T00:00:00.000000,26957291.72699803
2022-01-21T00:00:00.000000,26497060.925206073
2022-01-24T00:00:00.000000,25663279.449025422
2022-01-25T00:00:00.000000,26258010.041771486
2022-01-27T00:00:00.000000,26565175.524465814
2022-01-28T00:00:00.000000,26342321.4467904
2022-01-31T00:00:00.000000,26013814.73822269
2022-02-01T00:00:00.000000,26549608.98485089
2022-02-02T00:00:00.000000,26777208.74355811
2022-02-03T00:00:00.000000,26735286.48449178
2022-02-04T00:00:00.000000,26839297.542643882
2022-02-07T00:00:00.000000,26606258.3525336
2022-02-08T00:00:00.000000,26265846.299440958
2022-02-09T00:00:00.000000,26053696.53010416
2022-02-10T00:00:00.000000,26473537.873575505
2022-02-11T00:00:00.000000,26161547.679169428
2022-02-14T00:00:00.000000,25029630.56575848
2022-02-15T00:00:00.000000,25254409.123905554
2022-02-16T00:00:00.000000,25022104.31277714
2022-02-17T00:00:00.000000,25509738.194918416
2022-02-18T00:00:00.000000,25227985.559124276
2022-02-21T00:00:00.000000,24528239.85313559
2022-02-22T00:00:00.000000,24375691.00332172
2022-02-23T00:00:00.000000,24875170.205944546
2022-02-24T00:00:00.000000,23471123.91741225
2022-02-25T00:00:00.000000,24441520.29878118
2022-02-28T00:00:00.000000,24692542.920928203
2022-03-02T00:00:00.000000,25225222.056989305
2022-03-03T00:00:00.000000,26198792.29881252
2022-03-04T00:00:00.000000,25900450.02207137
2022-03-07T00:00:00.000000,24894969.00703819
2022-03-08T00:00:00.000000,24685622.293983
2022-03-09T00:00:00.000000,24982377.40765616
2022-03-10T00:00:00.000000,25731663.08934744
2022-03-11T00:00:00.000000,25876678.432398584
2022-03-14T00:00:00.000000,25809135.91206519
2022-03-15T00:00:00.000000,25073314.378477387
2022-03-16T00:00:00.000000,25662184.216184214
2022-03-17T00:00:00.000000,26280268.628165036
2022-03-21T00:00:00.000000,26547991.193595767
2022-03-22T00:00:00.000000,26724140.327474147
2022-03-23T00:00:00.000000,27035797.729836825
2022-03-24T00:00:00.000000,27556925.48351781
2022-03-25T00:00:00.000000,27913642.13056788
2022-03-28T00:00:00.000000,28048489.80543904
2022-03-29T00:00:00.000000,28471763.520317983
2022-03-30T00:00:00.000000,28171328.442064274
2022-03-31T00:00:00.000000,28103829.647280894
2022-04-01T00:00:00.000000,28802089.424272895
2022-04-04T00:00:00.000000,29431647.883473866
2022-04-05T00:00:00.000000,30097470.04039336
2022-04-06T00:00:00.000000,30504406.22230488
2022-04-07T00:00:00.000000,30162769.128613196
2022-04-08T00:00:00.000000,30831704.443813816
2022-04-11T00:00:00.000000,31899515.57065416
2022-04-12T00:00:00.000000,31089194.17968297
2022-04-13T00:00:00.000000,31285993.33665984
2022-04-18T00:00:00.000000,31889806.578748047
2022-04-19T00:00:00.000000,30927612.812133286
2022-04-20T00:00:00.000000,31310510.35474405
2022-04-21T00:00:00.000000,31265660.517383285
2022-04-22T00:00:00.000000,30862142.089341506
2022-04-25T00:00:00.000000,30322652.211408794
2022-04-26T00:00:00.000000,31653978.744685203
2022-04-27T00:00:00.000000,31419473.056595847
2022-04-28T00:00:00.000000,31770091.154560342
2022-04-29T00:00:00.000000,31395012.749063663
2022-05-02T00:00:00.000000,31397840.454596274
2022-05-04T00:00:00.000000,30458214.53885583
2022-05-05T00:00:00.000000,30640679.14415215
2022-05-06T00:00:00.000000,30267458.249479532
2022-05-09T00:00:00.000000,29171589.871220894
2022-05-10T00:00:00.000000,28124008.149583135
2022-05-11T00:00:00.000000,27722039.96689021
2022-05-12T00:00:00.000000,26458230.097363017
2022-05-13T00:00:00.000000,26486351.273011275
2022-05-16T00:00:00.000000,26826272.047338836
2022-05-17T00:00:00.000000,27756596.040435128
2022-05-18T00:00:00.000000,28160107.440986034
2022-05-19T00:00:00.000000,27300105.946012817
2022-05-20T00:00:00.000000,27647027.628679764
2022-05-23T00:00:00.000000,27464105.647080317
2022-05-24T00:00:00.000000,27146982.521882005
2022-05-25T00:00:00.000000,26200788.93992151
2022-05-26T00:00:00.000000,26875455.605596997
2022-05-27T00:00:00.000000,27289571.184739918
2022-05-30T00:00:00.000000,28379110.79177418
2022-05-31T00:00:00.000000,28279078.67767632
2022-06-01T00:00:00.000000,28072097.602066398
2022-06-02T00:00:00.000000,28600919.126158692
2022-06-03T00:00:00.000000,27966118.68737091
2022-06-06T00:00:00.000000,28698308.61609965
2022-06-07T00:00:00.000000,28975790.73430711
2022-06-08T00:00:00.000000,28636832.113922503
2022-06-09T00:00:00.000000,28844759.572975636
2022-06-10T00:00:00.000000,28068573.98315023
2022-06-13T00:00:00.000000,27499458.565334488
2022-06-14T00:00:00.000000,27687119.27318534
2022-06-15T00:00:00.000000,27613576.40477109
2022-06-16T00:00:00.000000,27258277.10864097
2022-06-17T00:00:00.000000,26286547.902239814
2022-06-20T00:00:00.000000,25774203.750160586
2022-06-21T00:00:00.000000,27397782.157460786
2022-06-22T00:00:00.000000,26769898.81100382
2022-06-23T00:00:00.000000,26890650.25674168
2022-06-24T00:00:00.000000,27607027.77741892
2022-06-27T00:00:00.000000,27974249.083972275
2022-06-28T00:00:00.000000,28280522.97015592
2022-06-29T00:00:00.000000,28598858.698396195
2022-06-30T00:00:00.000000,28861237.46280715
2022-07-01T00:00:00.000000,28820066.171379603
2022-07-04T00:00:00.000000,28744344.42648261
2022-07-05T00:00:00.000000,29126860.803284742
2022-07-06T00:00:00.000000,29521926.430267114
2022-07-07T00:00:00.000000,29819453.982085533
2022-07-08T00:00:00.000000,30136845.544071827
2022-07-11T00:00:00.000000,31377369.967832122
2022-07-12T00:00:00.000000,31623981.346557114
2022-07-13T00:00:00.000000,30936011.35741964
2022-07-14T00:00:00.000000,31502640.357699983
2022-07-15T00:00:00.000000,31613369.09344148
2022-07-18T00:00:00.000000,32136265.74434126
2022-07-19T00:00:00.000000,32335609.097759046
2022-07-20T00:00:00.000000,32328252.690394517
2022-07-21T00:00:00.000000,33222077.81885262
2022-07-22T00:00:00.000000,33249795.28491556
2022-07-25T00:00:00.000000,33067098.542904653
2022-07-26T00:00:00.000000,33077946.958801597
2022-07-27T00:00:00.000000,33187033.56048144
2022-07-28T00:00:00.000000,33524005.5308872
2022-07-29T00:00:00.000000,34453464.917352706
2022-08-01T00:00:00.000000,35182708.232254624
2022-08-02T00:00:00.000000,35735021.57640366
2022-08-03T00:00:00.000000,35992997.82218284
2022-08-04T00:00:00.000000,36153556.13501668
2022-08-05T00:00:00.000000,35511914.32591468
2022-08-08T00:00:00.000000,35851538.18712984
2022-08-10T00:00:00.000000,35856356.67226344
2022-08-11T00:00:00.000000,35997928.19179951
2022-08-12T00:00:00.000000,36365111.13714264
2022-08-16T00:00:00.000000,36898049.80167856
2022-08-17T00:00:00.000000,36896551.5557869
2022-08-18T00:00:00.000000,36843921.70297702
2022-08-19T00:00:00.000000,36749855.994322725
2022-08-22T00:00:00.000000,36013986.570285864
2022-08-23T00:00:00.000000,36455996.49875274
2022-08-24T00:00:00.000000,36687429.90347207
2022-08-25T00:00:00.000000,36385138.44268061
2022-08-26T00:00:00.000000,36629463.48867753
2022-08-29T00:00:00.000000,37057279.57840766
2022-08-30T00:00:00.000000,38173190.79859694
2022-09-01T00:00:00.000000,37570639.48135042
2022-09-02T00:00:00.000000,37266936.398398995
2022-09-05T00:00:00.000000,37164269.156682625
2022-09-06T00:00:00.000000,37748370.51440164
2022-09-07T00:00:00.000000,37641061.83603461
2022-09-08T00:00:00.000000,37746733.282864
2022-09-09T00:00:00.000000,37854347.30274749
2022-09-12T00:00:00.000000,38152248.11674652
2022-09-13T00:00:00.000000,38437679.87158401
2022-09-14T00:00:00.000000,38728167.03533159
2022-09-15T00:00:00.000000,39007125.40887878
2022-09-16T00:00:00.000000,38996087.18717294
2022-09-19T00:00:00.000000,39194571.3021351
2022-09-20T00:00:00.000000,40169307.85845794
2022-09-21T00:00:00.000000,39370932.117261864
2022-09-22T00:00:00.000000,39672033.00980988
2022-09-23T00:00:00.000000,38769857.62498924
2022-09-26T00:00:00.000000,37255462.034892365
2022-09-27T00:00:00.000000,37153577.95419159
2022-09-28T00:00:00.000000,36794103.89110434
2022-09-29T00:00:00.000000,36160025.68036296
2022-09-30T00:00:00.000000,36279675.933080316
2022-10-03T00:00:00.000000,34707124.62161848
2022-10-04T00:00:00.000000,35890289.0898159
2022-10-06T00:00:00.000000,36586943.00354796
2022-10-07T00:00:00.000000,36385569.66843545
2022-10-10T00:00:00.000000,36404198.47590448
2022-10-11T00:00:00.000000,36291931.07327591
2022-10-12T00:00:00.000000,36272229.218334325
2022-10-13T00:00:00.000000,35973263.932545505
2022-10-14T00:00:00.000000,35326165.29276079
2022-10-17T00:00:00.000000,35628223.86813122
2022-10-18T00:00:00.000000,36602075.811360426
2022-10-19T00:00:00.000000,36242697.7364725
2022-10-20T00:00:00.000000,36876447.03987584
2022-10-21T00:00:00.000000,36938223.084062375
2022-10-24T00:00:00.000000,36895145.02384451
2022-10-25T00:00:00.000000,36850397.69556452
2022-10-27T00:00:00.000000,37439558.456178665
2022-10-28T00:00:00.000000,37245514.38744267
2022-10-31T00:00:00.000000,37680751.62735612
2022-11-01T00:00:00.000000,37721460.0290599
2022-11-02T00:00:00.000000,37604703.507394016
2022-11-03T00:00:00.000000,37323238.785318546
2022-11-04T00:00:00.000000,37841704.1520575
2022-11-07T00:00:00.000000,38116289.206012934
2022-11-09T00:00:00.000000,37895224.849917084
2022-11-10T00:00:00.000000,37501635.56123319
2022-11-11T00:00:00.000000,38085965.12535338
2022-11-14T00:00:00.000000,38410114.664847896
2022-11-15T00:00:00.000000,38799094.660400055
2022-11-16T00:00:00.000000,38266665.45693027
2022-11-17T00:00:00.000000,37638282.014569916
2022-11-18T00:00:00.000000,37291139.61849968
2022-11-21T00:00:00.000000,37007283.95522561
2022-11-22T00:00:00.000000,36882133.57053956
2022-11-23T00:00:00.000000,37189759.915663436
2022-11-24T00:00:00.000000,36987963.616299964
2022-11-25T00:00:00.000000,36840266.66310476
2022-11-28T00:00:00.000000,36536132.68789169
2022-11-29T00:00:00.000000,36531332.385311104
2022-11-30T00:00:00.000000,37040896.12314952
2022-12-01T00:00:00.000000,36838525.04402551
2022-12-02T00:00:00.000000,36580987.94543463
2022-12-05T00:00:00.000000,37080009.88323577
2022-12-06T00:00:00.000000,37272584.00657494
2022-12-07T00:00:00.000000,37286334.053814985
2022-12-08T00:00:00.000000,36944196.79594837
2022-12-09T00:00:00.000000,36749946.454829514
2022-12-12T00:00:00.000000,37203838.97342974
2022-12-13T00:00:00.000000,37028945.235307395
2022-12-14T00:00:00.000000,37690130.962712355
2022-12-15T00:00:00.000000,37307810.553170264
2022-12-16T00:00:00.000000,37210031.533272944
2022-12-19T00:00:00.000000,37287901.20418851
2022-12-20T00:00:00.000000,37439254.14690337
2022-12-21T00:00:00.000000,36514941.23263887
2022-12-22T00:00:00.000000,35964167.901206456
2022-12-23T00:00:00.000000,33811106.97579572
2022-12-26T00:00:00.000000,34923926.15328818
2022-12-27T00:00:00.000000,35860830.41219833
2022-12-28T00:00:00.000000,36854629.52372469
2022-12-29T00:00:00.000000,37397304.586373076
2022-12-30T00:00:00.000000,37232249.637463406
2023-01-02T00:00:00.000000,36863828.862012774
2023-01-03T00:00:00.000000,37126511.97781873
2023-01-04T00:00:00.000000,36295934.85816352
2023-01-05T00:00:00.000000,36898840.509103894
2023-01-06T00:00:00.000000,36779958.955081515
2023-01-09T00:00:00.000000,37811138.080473356
2023-01-10T00:00:00.000000,38117907.236734144
2023-01-11T00:00:00.000000,38051633.11615405
2023-01-12T00:00:00.000000,38013998.32079771
2023-01-13T00:00:00.000000,38668963.75314946
2023-01-16T00:00:00.000000,38730750.38280015
2023-01-17T00:00:00.000000,39133237.53840304
2023-01-18T00:00:00.000000,39146665.00118191
2023-01-19T00:00:00.000000,39290723.77937847
2023-01-20T00:00:00.000000,39445374.6311888
2023-01-23T00:00:00.000000,39241652.25321066
2023-01-24T00:00:00.000000,39477715.767432
2023-01-25T00:00:00.000000,38133983.95530635
2023-01-27T00:00:00.000000,33606753.050683826
2023-01-30T00:00:00.000000,31047459.116054386
2023-01-31T00:00:00.000000,30940701.614520494
2023-02-01T00:00:00.000000,29935015.00982818
2023-02-02T00:00:00.000000,28781095.837010425
2023-02-03T00:00:00.000000,28724865.166529387
2023-02-06T00:00:00.000000,28288563.291908395
2023-02-07T00:00:00.000000,28202129.13642507
2023-02-08T00:00:00.000000,28150852.71226256
2023-02-09T00:00:00.000000,27700265.39291052
2023-02-10T00:00:00.000000,27950015.82238336
2023-02-13T00:00:00.000000,27946360.224254195
2023-02-14T00:00:00.000000,27487635.818795845
2023-02-15T00:00:00.000000,27152534.148336444
2023-02-16T00:00:00.000000,27329944.15073123
2023-02-17T00:00:00.000000,27309220.871643603
2023-02-20T00:00:00.000000,26779565.839784347
2023-02-21T00:00:00.000000,27196411.73245196
2023-02-22T00:00:00.000000,26442901.153357435
2023-02-23T00:00:00.000000,26490544.96887762
2023-02-24T00:00:00.000000,25969592.45104508
2023-02-27T00:00:00.000000,25731408.778203532
2023-02-28T00:00:00.000000,25676910.14671363
2023-03-01T00:00:00.000000,26112015.17056208
2023-03-02T00:00:00.000000,26127010.434931237
2023-03-03T00:00:00.000000,26370704.738201402
2023-03-06T00:00:00.000000,26610999.478960637
2023-03-08T00:00:00.000000,27009646.74735432
2023-03-09T00:00:00.000000,27207224.15547269
2023-03-10T00:00:00.000000,27474528.172879573
2023-03-13T00:00:00.000000,27329367.762001827
2023-03-14T00:00:00.000000,26926543.702875096
2023-03-15T00:00:00.000000,26907448.988965683
2023-03-16T00:00:00.000000,26768395.290828563
2023-03-17T00:00:00.000000,27146292.935641315
2023-03-20T00:00:00.000000,26406522.26022788
2023-03-21T00:00:00.000000,26744719.59372534
2023-03-22T00:00:00.000000,26845295.365715828
2023-03-23T00:00:00.000000,27355129.237559576
2023-03-24T00:00:00.000000,26986868.986108713
