SignalFamily,LookbackDays,FormationDate,InitialCapital,FinalValue,NetPnL,TotalReturn,CAGR,AnnualizedVolatility,MaxDrawdown,Sharpe,Sortino,GainLossRatio,WinRate
6M,100,2022-07-01T00:00:00.000000,100000000,426441014.52009755,326441014.52009755,3.233737907791684,0.4358568327136767,0.2795130961090953,-0.31280065927628986,1.4622013294159966,1.8614552338198123,0.9320339477776772,0.5807106598984771
6M,100,2023-01-01T00:00:00.000000,100000000,385386956.5230313,285386956.5230313,2.847785072051016,0.47111181568848015,0.3364976892007832,-0.42775253972210703,1.3399082012852088,1.9312824870077117,1.0702360658123984,0.5417633410672854
6M,100,2023-07-01T00:00:00.000000,100000000,412046306.3511245,312046306.3511245,3.129439193767144,0.6062515313959114,0.2684673950553629,-0.3270725331374319,1.9374797333673914,2.7584049659324186,1.0199255693791904,0.5737483085250338
6M,100,2024-01-01T00:00:00.000000,100000000,221864496.76279444,121864496.76279444,0.9581360001702381,0.32723442448314866,0.27859299855937947,-0.27204884166381915,1.1791129261228883,1.6669677207515698,0.9021095863422793,0.5743589743589743
6M,100,2024-07-01T00:00:00.000000,100000000,140176909.5774305,40176909.57743049,0.4092144860965219,0.18780280911079972,0.29580365738491277,-0.355647914491905,0.7430512582012329,1.1519752305482485,0.9393169626514877,0.5458248472505092
6M,100,2025-01-01T00:00:00.000000,100000000,116640097.95593572,16640097.955935717,0.1704558338151283,0.11146201002958622,0.28011122414712275,-0.2141699543616793,0.5252529368923617,0.8492992640392623,1.1091461434653547,0.49591280653950953
6M,126,2021-01-01T00:00:00.000000,100000000,1145305008.0406153,1045305008.0406153,10.453361189732512,0.5599044041713255,0.292708150180799,-0.3157034711570438,1.695326668602384,2.1953136839472607,0.9741622177884547,0.5799557848194546
6M,126,2021-07-01T00:00:00.000000,100000000,416305457.71399033,316305457.71399033,3.143391063925783,0.3293014951133495,0.32468730201824425,-0.48306022113575553,1.057408097979121,1.3659732556629118,0.9469934279752414,0.5595141700404859
6M,126,2022-01-01T00:00:00.000000,100000000,419661864.74999475,319661864.74999475,3.170573878413296,0.3747071866246172,0.24352855140720767,-0.25540623287573283,1.4541770884846874,2.007451829028839,1.0075573871441537,0.5594594594594594
6M,126,2022-07-01T00:00:00.000000,100000000,374767891.7388326,274767891.7388326,2.7186590345365693,0.3899144495877813,0.2886342827021212,-0.28532118456094957,1.3098365318419463,1.6719983184463045,0.9009997266426071,0.582741116751269
